dataset,method,run,ACC,F-score,Recall,DCV,time_s
haberman,ictlb,2,0.673202614379085,0.43783068783068785,0.47358024691358025,0.8235294117647058,0.0065
haberman,ictlb,3,0.7320261437908496,0.4342532467532468,0.5017283950617284,0.9803921568627451,0.0076
haberman,ictlb,4,0.7124183006535948,0.41603053435114506,0.48444444444444446,0.954248366013072,0.0074
haberman,ictlb,5,0.673202614379085,0.43783068783068785,0.47358024691358025,0.8235294117647058,0.0075
haberman,ictlb,6,0.673202614379085,0.43783068783068785,0.47358024691358025,0.8235294117647058,0.0062
haberman,ictlb,7,0.673202614379085,0.43783068783068785,0.47358024691358025,0.8235294117647058,0.007
haberman,ictlb,8,0.673202614379085,0.43783068783068785,0.47358024691358025,0.8235294117647058,0.0068
haberman,ictlb,9,0.673202614379085,0.43783068783068785,0.47358024691358025,0.8235294117647058,0.006
ecoli3,kmeans,0,0.7261904761904762,0.62265625,0.8345514950166113,0.25595238095238093,0.0023
ecoli3,kmeans,1,0.7261904761904762,0.62265625,0.8345514950166113,0.25595238095238093,0.0027
ecoli3,kmeans,2,0.7261904761904762,0.62265625,0.8345514950166113,0.25595238095238093,0.0025
ecoli3,kmeans,3,0.7261904761904762,0.62265625,0.8345514950166113,0.25595238095238093,0.0021
ecoli3,kmeans,4,0.7261904761904762,0.62265625,0.8345514950166113,0.25595238095238093,0.0028
ecoli3,kmeans,5,0.7261904761904762,0.62265625,0.8345514950166113,0.25595238095238093,0.0028
ecoli3,kmeans,6,0.7261904761904762,0.62265625,0.8345514950166113,0.25595238095238093,0.0024
ecoli3,kmeans,7,0.7261904761904762,0.62265625,0.8345514950166113,0.25595238095238093,0.002
ecoli3,kmeans,8,0.7261904761904762,0.62265625,0.8345514950166113,0.25595238095238093,0.0021
ecoli3,kmeans,9,0.7291666666666666,0.6251425208724116,0.8362126245847177,0.2619047619047619,0.002
ecoli3,kmeanspp,0,0.7261904761904762,0.62265625,0.8345514950166113,0.25595238095238093,0.003
ecoli3,kmeanspp,1,0.7291666666666666,0.6251425208724116,0.8362126245847177,0.2619047619047619,0.002
ecoli3,kmeanspp,2,0.7261904761904762,0.62265625,0.8345514950166113,0.25595238095238093,0.0018
ecoli3,kmeanspp,3,0.7261904761904762,0.62265625,0.8345514950166113,0.25595238095238093,0.002
ecoli3,kmeanspp,4,0.7261904761904762,0.62265625,0.8345514950166113,0.25595238095238093,0.0019
ecoli3,kmeanspp,5,0.7261904761904762,0.62265625,0.8345514950166113,0.25595238095238093,0.0018
ecoli3,kmeanspp,6,0.7261904761904762,0.62265625,0.8345514950166113,0.25595238095238093,0.0023
ecoli3,kmeanspp,7,0.7261904761904762,0.62265625,0.8345514950166113,0.25595238095238093,0.0019
ecoli3,kmeanspp,8,0.7261904761904762,0.62265625,0.8345514950166113,0.25595238095238093,0.0025
ecoli3,kmeanspp,9,0.7261904761904762,0.62265625,0.8345514950166113,0.25595238095238093,0.0021
ecoli3,macw,0,0.7976190476190477,0.6830716306941131,0.8617940199335548,0.4107142857142857,0.0032
ecoli3,macw,1,0.7976190476190477,0.6830716306941131,0.8617940199335548,0.4107142857142857,0.0031
ecoli3,macw,2,0.7976190476190477,0.6830716306941131,0.8617940199335548,0.4107142857142857,0.0024
ecoli3,macw,3,0.7976190476190477,0.44370860927152317,0.44518272425249167,0.8035714285714286,0.0036
ecoli3,macw,4,0.7976190476190477,0.6830716306941131,0.8617940199335548,0.4107142857142857,0.0022
ecoli3,macw,5,0.7976190476190477,0.6830716306941131,0.8617940199335548,0.4107142857142857,0.0029
ecoli3,macw,6,0.7976190476190477,0.44370860927152317,0.44518272425249167,0.8035714285714286,0.0034
ecoli3,macw,7,0.7976190476190477,0.6830716306941131,0.8617940199335548,0.4107142857142857,0.0039
ecoli3,macw,8,0.7976190476190477,0.44370860927152317,0.44518272425249167,0.8035714285714286,0.0028
ecoli3,macw,9,0.7976190476190477,0.6830716306941131,0.8617940199335548,0.4107142857142857,0.0023
ecoli3,ictlb,0,0.8928571428571429,0.4716981132075472,0.4983388704318937,0.9940476190476191,0.0068
ecoli3,ictlb,1,0.8898809523809523,0.47086614173228347,0.49667774086378735,0.9880952380952381,0.0084
ecoli3,ictlb,2,0.8928571428571429,0.4716981132075472,0.4983388704318937,0.9940476190476191,0.0057
ecoli3,ictlb,3,0.8958333333333334,0.5236359217401871,0.5252491694352159,0.9761904761904762,0.0074
ecoli3,ictlb,4,0.8928571428571429,0.4716981132075472,0.4983388704318937,0.9940476190476191,0.0069
ecoli3,ictlb,5,0.8988095238095238,0.5010482180293501,0.5142857142857142,0.9940476190476191,0.0063
ecoli3,ictlb,6,0.8928571428571429,0.4716981132075472,0.4983388704318937,0.9940476190476191,0.0064
ecoli3,ictlb,7,0.8928571428571429,0.4716981132075472,0.4983388704318937,0.9940476190476191,0.0071
ecoli3,ictlb,8,0.8928571428571429,0.4716981132075472,0.4983388704318937,0.9940476190476191,0.0094
ecoli3,ictlb,9,0.8928571428571429,0.4716981132075472,0.4983388704318937,0.9940476190476191,0.0061
vowel0,kmeans,0,0.812753036437247,0.6721640793851507,0.8370081662954714,0.49190283400809715,0.0097
vowel0,kmeans,1,0.7257085020242915,0.6107040820035622,0.8491091314031181,0.2692307692307692,0.0106
vowel0,kmeans,2,0.7257085020242915,0.6107040820035622,0.8491091314031181,0.2692307692307692,0.0108
vowel0,kmeans,3,0.8137651821862348,0.6731770458794765,0.8375649591685226,0.4939271255060729,0.0092
vowel0,kmeans,4,0.6781376518218624,0.5731450837178212,0.8229398663697105,0.17408906882591094,0.0084
vowel0,kmeans,5,0.8137651821862348,0.6731770458794765,0.8375649591685226,0.4939271255060729,0.0083
vowel0,kmeans,6,0.6963562753036437,0.5872326203208555,0.8329621380846326,0.21052631578947367,0.0086
vowel0,kmeans,7,0.8137651821862348,0.6731770458794765,0.8375649591685226,0.4939271255060729,0.0132
