fold,classifier,resampler,mcc,rank
3,NNet,smote,0.7394577025904426,2.5
3,NaiveBayes,smote,0.7691935318622287,1.0
3,LogisticReg,smote,0.7414349018270466,1.5
3,J48,smotewb,0.5594309277855158,1.0
3,KNN,smotewb,0.5948228686039609,3.0
3,CART,smotewb,0.683536555146996,1.0
3,Radial_SVM,smotewb,0.7691865051883202,1.0
3,Linear_SVM,smotewb,0.7394577025904426,3.0
3,NNet,smotewb,0.7401701506085286,1.0
3,NaiveBayes,smotewb,0.7691865051883202,2.5
3,LogisticReg,smotewb,0.709721283401673,3.0
4,J48,none,0.3961295342422729,3.0
4,KNN,none,0.2931763649279746,3.0
4,CART,none,0.4944160539751941,4.0
4,Radial_SVM,none,0.5275014756628025,2.0
4,Linear_SVM,none,0.49570177419236866,3.0
4,NNet,none,0.5275014756628025,2.0
4,NaiveBayes,none,0.5112313234371975,3.0
4,LogisticReg,none,0.49570177419236866,2.0
4,J48,ros,0.3385786396448106,4.0
4,KNN,ros,0.3677089562999654,1.0
4,CART,ros,0.5044185153893525,2.0
4,Radial_SVM,ros,0.4770278351999552,3.0
4,Linear_SVM,ros,0.5066740688254677,2.0
4,NNet,ros,0.4975498563492141,3.0
4,NaiveBayes,ros,0.5400660110544787,1.0
4,LogisticReg,ros,0.5114782075908113,1.0
4,J48,smote,0.4063321549001754,2.0
4,KNN,smote,0.23873705811371665,4.0
4,CART,smote,0.5044185153893525,2.0
4,Radial_SVM,smote,0.46354777877784786,4.0
4,Linear_SVM,smote,0.4733002574487753,4.0
4,NNet,smote,0.5621703750837337,1.0
4,NaiveBayes,smote,0.5185449728701349,2.0
4,LogisticReg,smote,0.4848401374141137,3.0
4,J48,smotewb,0.4785757597651158,1.0
4,KNN,smotewb,0.33312350897200604,2.0
4,CART,smotewb,0.5044185153893525,2.0
4,Radial_SVM,smotewb,0.5522164981933888,1.0
4,Linear_SVM,smotewb,0.5366993141845384,1.0
4,NNet,smotewb,0.4866666666666667,4.0
4,NaiveBayes,smotewb,0.4733002574487753,4.0
4,LogisticReg,smotewb,0.4629100498862757,4.0
5,J48,none,0.31555555555555553,3.0
5,KNN,none,0.4957421042418413,4.0
5,CART,none,0.3226989547312098,4.0
5,Radial_SVM,none,0.46322369481325704,4.0
5,Linear_SVM,none,0.4618833599503053,4.0
5,NNet,none,0.563178312189625,2.0
5,NaiveBayes,none,0.43893811257017395,3.0
5,LogisticReg,none,0.46322369481325704,4.0
5,J48,ros,0.3275366019667524,2.0
5,KNN,ros,0.5523586388082835,1.0
5,CART,ros,0.4164073266987447,3.0
5,Radial_SVM,ros,0.49604652413672967,3.0
5,Linear_SVM,ros,0.5437037037037037,2.0
5,NNet,ros,0.5066740688254677,3.5
5,NaiveBayes,ros,0.3961295342422729,4.0
5,LogisticReg,ros,0.5291105481433476,3.0
5,J48,smote,0.3058693853650585,4.0
5,KNN,smote,0.5185449728701349,3.0
5,CART,smote,0.4427410738901448,1.0
5,Radial_SVM,smote,0.5291105481433476,2.0
5,Linear_SVM,smote,0.6007407407407407,1.0
5,NNet,smote,0.5066740688254677,3.5
5,NaiveBayes,smote,0.4629100498862757,1.0
5,LogisticReg,smote,0.6326437348445768,1.0
5,J48,smotewb,0.417489966754203,1.0
5,KNN,smotewb,0.5437037037037037,2.0
5,CART,smotewb,0.42962962962962964,2.0
5,Radial_SVM,smotewb,0.5522164981933888,1.0
5,Linear_SVM,smotewb,0.519487944872376,3.0
5,NNet,smotewb,0.5687822180346598,1.0
5,NaiveBayes,smotewb,0.44565871858907996,2.0
5,LogisticReg,smotewb,0.5687822180346598,2.0
6,J48,none,0.4000940939272025,1.0
6,KNN,none,0.4336735806213181,1.0
6,CART,none,0.2500445117069316,4.0
6,Radial_SVM,none,0.46318981300044104,1.0
6,Linear_SVM,none,0.35959378791588203,4.0
6,NNet,none,0.5275014756628025,1.0
6,NaiveBayes,none,0.5263532956993116,1.0
6,LogisticReg,none,0.49570177419236866,1.0
6,J48,ros,0.2639366428526536,4.0
6,KNN,ros,0.4085505846855608,3.0
6,CART,ros,0.44565871858907996,3.0
